ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L,2302,SYSTEM13U.TXT,0.06122,0.05000,0.05505,1
ROUGE-L,2302,SYSTEM23.TXT,0.06122,0.05000,0.05505,1
ROUGE-L,2302,SYSTEM12.TXT,0.06122,0.05000,0.05505,1
ROUGE-L,2302,SYSTEM13.TXT,0.14286,0.06604,0.09032,1
ROUGE-L,2302,SYSTEM23U.TXT,0.06122,0.05000,0.05505,1
ROUGE-L,2302,SYSTEM12U.TXT,0.06122,0.05000,0.05505,1
ROUGE-L,2302,SYSTEM123.TXT,0.06122,0.05000,0.05505,1
ROUGE-L,2302,SYSTEM1.TXT,0.14286,0.06604,0.09032,1
ROUGE-L,2302,SYSTEM123U.TXT,0.06122,0.05000,0.05505,1
ROUGE-L,2302,SYSTEM3.TXT,0.14286,0.06604,0.09032,1
ROUGE-L,2302,SYSTEM2.TXT,0.06122,0.05000,0.05505,1

ROUGE-L,2301,SYSTEM1.TXT,0.04651,0.03175,0.03774,1
ROUGE-L,2301,SYSTEM12U.TXT,0.18605,0.09302,0.12403,1
ROUGE-L,2301,SYSTEM2.TXT,0.23256,0.15625,0.18692,1
ROUGE-L,2301,SYSTEM13U.TXT,0.27907,0.15190,0.19672,1
ROUGE-L,2301,SYSTEM13.TXT,0.04651,0.03175,0.03774,1
ROUGE-L,2301,SYSTEM3.TXT,0.27907,0.15190,0.19672,1
ROUGE-L,2301,SYSTEM12.TXT,0.18605,0.09302,0.12403,1
ROUGE-L,2301,SYSTEM123.TXT,0.34884,0.28846,0.31579,1
ROUGE-L,2301,SYSTEM23U.TXT,0.34884,0.28846,0.31579,1
ROUGE-L,2301,SYSTEM23.TXT,0.34884,0.28846,0.31579,1
ROUGE-L,2301,SYSTEM123U.TXT,0.34884,0.28846,0.31579,1

ROUGE-L,2300,SYSTEM23.TXT,0.36364,0.30769,0.33333,1
ROUGE-L,2300,SYSTEM23U.TXT,0.36364,0.30769,0.33333,1
ROUGE-L,2300,SYSTEM13U.TXT,0.36364,0.30769,0.33333,1
ROUGE-L,2300,SYSTEM1.TXT,0.36364,0.30769,0.33333,1
ROUGE-L,2300,SYSTEM123.TXT,0.36364,0.30769,0.33333,1
ROUGE-L,2300,SYSTEM2.TXT,0.36364,0.30769,0.33333,1
ROUGE-L,2300,SYSTEM12U.TXT,0.36364,0.30769,0.33333,1
ROUGE-L,2300,SYSTEM3.TXT,0.36364,0.30769,0.33333,1
ROUGE-L,2300,SYSTEM13.TXT,0.36364,0.30769,0.33333,1
ROUGE-L,2300,SYSTEM123U.TXT,0.36364,0.30769,0.33333,1
ROUGE-L,2300,SYSTEM12.TXT,0.36364,0.30769,0.33333,1

