ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-S2,3640,SYSTEM12U.TXT,0.05785,0.03784,0.04575,1
ROUGE-S2,3640,SYSTEM123.TXT,0.05785,0.03784,0.04575,1
ROUGE-S2,3640,SYSTEM23U.TXT,0.05785,0.03784,0.04575,1
ROUGE-S2,3640,SYSTEM123U.TXT,0.05785,0.03784,0.04575,1
ROUGE-S2,3640,SYSTEM12.TXT,0.05785,0.03784,0.04575,1
ROUGE-S2,3640,SYSTEM2.TXT,0.05785,0.03784,0.04575,1
ROUGE-S2,3640,SYSTEM1.TXT,0.28099,0.24460,0.26154,1
ROUGE-S2,3640,SYSTEM13.TXT,0.28099,0.24460,0.26154,1
ROUGE-S2,3640,SYSTEM23.TXT,0.05785,0.03784,0.04575,1
ROUGE-S2,3640,SYSTEM3.TXT,0.65289,0.19268,0.29755,1
ROUGE-S2,3640,SYSTEM13U.TXT,0.28099,0.24460,0.26154,1

ROUGE-S2,2306,SYSTEM23U.TXT,0.05600,0.04545,0.05018,1
ROUGE-S2,2306,SYSTEM13.TXT,0.08000,0.04717,0.05935,1
ROUGE-S2,2306,SYSTEM13U.TXT,0.08000,0.04717,0.05935,1
ROUGE-S2,2306,SYSTEM123U.TXT,0.05600,0.04545,0.05018,1
ROUGE-S2,2306,SYSTEM23.TXT,0.04800,0.04054,0.04396,1
ROUGE-S2,2306,SYSTEM123.TXT,0.04800,0.04054,0.04396,1
ROUGE-S2,2306,SYSTEM2.TXT,0.04800,0.04054,0.04396,1
ROUGE-S2,2306,SYSTEM12.TXT,0.04800,0.04054,0.04396,1
ROUGE-S2,2306,SYSTEM12U.TXT,0.05600,0.04545,0.05018,1
ROUGE-S2,2306,SYSTEM1.TXT,0.08000,0.04717,0.05935,1
ROUGE-S2,2306,SYSTEM3.TXT,0.09600,0.04858,0.06452,1

ROUGE-S2,3638,SYSTEM12U.TXT,0.49573,0.27619,0.35474,1
ROUGE-S2,3638,SYSTEM13.TXT,0.49573,0.27619,0.35474,1
ROUGE-S2,3638,SYSTEM1.TXT,0.32479,0.17757,0.22961,1
ROUGE-S2,3638,SYSTEM23U.TXT,0.49573,0.27619,0.35474,1
ROUGE-S2,3638,SYSTEM12.TXT,0.49573,0.27619,0.35474,1
ROUGE-S2,3638,SYSTEM2.TXT,0.49573,0.27619,0.35474,1
ROUGE-S2,3638,SYSTEM23.TXT,0.49573,0.27619,0.35474,1
ROUGE-S2,3638,SYSTEM13U.TXT,0.49573,0.27619,0.35474,1
ROUGE-S2,3638,SYSTEM3.TXT,0.20513,0.12060,0.15190,1
ROUGE-S2,3638,SYSTEM123U.TXT,0.49573,0.27619,0.35474,1
ROUGE-S2,3638,SYSTEM123.TXT,0.49573,0.27619,0.35474,1

ROUGE-S2,3639,SYSTEM13U.TXT,0.12821,0.08824,0.10453,1
ROUGE-S2,3639,SYSTEM1.TXT,0.05128,0.04167,0.04598,1
ROUGE-S2,3639,SYSTEM12.TXT,0.05128,0.04167,0.04598,1
ROUGE-S2,3639,SYSTEM123U.TXT,0.12821,0.08824,0.10453,1
ROUGE-S2,3639,SYSTEM13.TXT,0.05128,0.04167,0.04598,1
ROUGE-S2,3639,SYSTEM2.TXT,0.10256,0.05479,0.07143,1
ROUGE-S2,3639,SYSTEM123.TXT,0.12821,0.08824,0.10453,1
ROUGE-S2,3639,SYSTEM23U.TXT,0.12821,0.08824,0.10453,1
ROUGE-S2,3639,SYSTEM3.TXT,0.40171,0.18217,0.25067,1
ROUGE-S2,3639,SYSTEM23.TXT,0.12821,0.08824,0.10453,1
ROUGE-S2,3639,SYSTEM12U.TXT,0.05128,0.04167,0.04598,1

ROUGE-S2,2305,SYSTEM13U.TXT,0.17647,0.07473,0.10500,1
ROUGE-S2,2305,SYSTEM123.TXT,0.17647,0.07473,0.10500,1
ROUGE-S2,2305,SYSTEM3.TXT,0.18487,0.06077,0.09148,1
ROUGE-S2,2305,SYSTEM12U.TXT,0.17647,0.07473,0.10500,1
ROUGE-S2,2305,SYSTEM1.TXT,0.17647,0.07473,0.10500,1
ROUGE-S2,2305,SYSTEM23.TXT,0.17647,0.07473,0.10500,1
ROUGE-S2,2305,SYSTEM123U.TXT,0.17647,0.07473,0.10500,1
ROUGE-S2,2305,SYSTEM2.TXT,0.17647,0.07473,0.10500,1
ROUGE-S2,2305,SYSTEM13.TXT,0.17647,0.07473,0.10500,1
ROUGE-S2,2305,SYSTEM23U.TXT,0.17647,0.07473,0.10500,1
ROUGE-S2,2305,SYSTEM12.TXT,0.17647,0.07473,0.10500,1

ROUGE-S2,2304,SYSTEM12U.TXT,0.28319,0.18824,0.22615,1
ROUGE-S2,2304,SYSTEM23U.TXT,0.28319,0.18824,0.22615,1
ROUGE-S2,2304,SYSTEM1.TXT,0.28319,0.18824,0.22615,1
ROUGE-S2,2304,SYSTEM2.TXT,0.17699,0.13158,0.15094,1
ROUGE-S2,2304,SYSTEM123.TXT,0.28319,0.18824,0.22615,1
ROUGE-S2,2304,SYSTEM3.TXT,0.29204,0.14798,0.19643,1
ROUGE-S2,2304,SYSTEM12.TXT,0.28319,0.18824,0.22615,1
ROUGE-S2,2304,SYSTEM13U.TXT,0.28319,0.18824,0.22615,1
ROUGE-S2,2304,SYSTEM23.TXT,0.17699,0.13158,0.15094,1
ROUGE-S2,2304,SYSTEM13.TXT,0.28319,0.18824,0.22615,1
ROUGE-S2,2304,SYSTEM123U.TXT,0.28319,0.18824,0.22615,1

ROUGE-S2,2303,SYSTEM123U.TXT,0.49573,0.41727,0.45312,1
ROUGE-S2,2303,SYSTEM3.TXT,0.76068,0.35600,0.48501,1
ROUGE-S2,2303,SYSTEM2.TXT,0.49573,0.41727,0.45312,1
ROUGE-S2,2303,SYSTEM23.TXT,0.49573,0.41727,0.45312,1
ROUGE-S2,2303,SYSTEM1.TXT,0.49573,0.41727,0.45312,1
ROUGE-S2,2303,SYSTEM23U.TXT,0.49573,0.41727,0.45312,1
ROUGE-S2,2303,SYSTEM12.TXT,0.49573,0.41727,0.45312,1
ROUGE-S2,2303,SYSTEM13.TXT,0.49573,0.41727,0.45312,1
ROUGE-S2,2303,SYSTEM12U.TXT,0.49573,0.41727,0.45312,1
ROUGE-S2,2303,SYSTEM123.TXT,0.49573,0.41727,0.45312,1
ROUGE-S2,2303,SYSTEM13U.TXT,0.49573,0.41727,0.45312,1

ROUGE-S2,2302,SYSTEM13U.TXT,0.01681,0.01379,0.01515,1
ROUGE-S2,2302,SYSTEM23.TXT,0.01681,0.01379,0.01515,1
ROUGE-S2,2302,SYSTEM12.TXT,0.01681,0.01379,0.01515,1
ROUGE-S2,2302,SYSTEM13.TXT,0.01681,0.00641,0.00928,1
ROUGE-S2,2302,SYSTEM23U.TXT,0.01681,0.01379,0.01515,1
ROUGE-S2,2302,SYSTEM12U.TXT,0.01681,0.01379,0.01515,1
ROUGE-S2,2302,SYSTEM123.TXT,0.01681,0.01379,0.01515,1
ROUGE-S2,2302,SYSTEM1.TXT,0.01681,0.00641,0.00928,1
ROUGE-S2,2302,SYSTEM123U.TXT,0.01681,0.01379,0.01515,1
ROUGE-S2,2302,SYSTEM3.TXT,0.01681,0.00641,0.00928,1
ROUGE-S2,2302,SYSTEM2.TXT,0.01681,0.01379,0.01515,1

ROUGE-S2,2301,SYSTEM1.TXT,0.07619,0.05298,0.06250,1
ROUGE-S2,2301,SYSTEM12U.TXT,0.21905,0.10360,0.14067,1
ROUGE-S2,2301,SYSTEM2.TXT,0.14286,0.07812,0.10101,1
ROUGE-S2,2301,SYSTEM13U.TXT,0.32381,0.15455,0.20923,1
ROUGE-S2,2301,SYSTEM13.TXT,0.07619,0.05298,0.06250,1
ROUGE-S2,2301,SYSTEM3.TXT,0.32381,0.15455,0.20923,1
ROUGE-S2,2301,SYSTEM12.TXT,0.21905,0.10360,0.14067,1
ROUGE-S2,2301,SYSTEM123.TXT,0.40000,0.30000,0.34286,1
ROUGE-S2,2301,SYSTEM23U.TXT,0.40000,0.30000,0.34286,1
ROUGE-S2,2301,SYSTEM23.TXT,0.40000,0.30000,0.34286,1
ROUGE-S2,2301,SYSTEM123U.TXT,0.40000,0.30000,0.34286,1

ROUGE-S2,2300,SYSTEM23.TXT,0.20168,0.16901,0.18391,1
ROUGE-S2,2300,SYSTEM23U.TXT,0.20168,0.16901,0.18391,1
ROUGE-S2,2300,SYSTEM13U.TXT,0.20168,0.16901,0.18391,1
ROUGE-S2,2300,SYSTEM1.TXT,0.20168,0.16901,0.18391,1
ROUGE-S2,2300,SYSTEM123.TXT,0.20168,0.16901,0.18391,1
ROUGE-S2,2300,SYSTEM2.TXT,0.20168,0.16901,0.18391,1
ROUGE-S2,2300,SYSTEM12U.TXT,0.20168,0.16901,0.18391,1
ROUGE-S2,2300,SYSTEM3.TXT,0.20168,0.16901,0.18391,1
ROUGE-S2,2300,SYSTEM13.TXT,0.20168,0.16901,0.18391,1
ROUGE-S2,2300,SYSTEM123U.TXT,0.20168,0.16901,0.18391,1
ROUGE-S2,2300,SYSTEM12.TXT,0.20168,0.16901,0.18391,1

ROUGE-S2,3630,SYSTEM123.TXT,0.48571,0.40157,0.43966,1
ROUGE-S2,3630,SYSTEM23.TXT,0.48571,0.40157,0.43966,1
ROUGE-S2,3630,SYSTEM12U.TXT,0.48571,0.40157,0.43966,1
ROUGE-S2,3630,SYSTEM1.TXT,0.48571,0.40157,0.43966,1
ROUGE-S2,3630,SYSTEM23U.TXT,0.48571,0.40157,0.43966,1
ROUGE-S2,3630,SYSTEM2.TXT,0.48571,0.40157,0.43966,1
ROUGE-S2,3630,SYSTEM3.TXT,0.48571,0.40157,0.43966,1
ROUGE-S2,3630,SYSTEM123U.TXT,0.48571,0.40157,0.43966,1
ROUGE-S2,3630,SYSTEM12.TXT,0.48571,0.40157,0.43966,1
ROUGE-S2,3630,SYSTEM13.TXT,0.48571,0.40157,0.43966,1
ROUGE-S2,3630,SYSTEM13U.TXT,0.48571,0.40157,0.43966,1

ROUGE-S2,3631,SYSTEM23.TXT,0.08130,0.04950,0.06154,1
ROUGE-S2,3631,SYSTEM1.TXT,0.04878,0.04724,0.04800,1
ROUGE-S2,3631,SYSTEM23U.TXT,0.08130,0.04950,0.06154,1
ROUGE-S2,3631,SYSTEM13U.TXT,0.04878,0.04724,0.04800,1
ROUGE-S2,3631,SYSTEM2.TXT,0.08130,0.04950,0.06154,1
ROUGE-S2,3631,SYSTEM123.TXT,0.08130,0.04950,0.06154,1
ROUGE-S2,3631,SYSTEM3.TXT,0.04878,0.04724,0.04800,1
ROUGE-S2,3631,SYSTEM12U.TXT,0.08130,0.04950,0.06154,1
ROUGE-S2,3631,SYSTEM123U.TXT,0.08130,0.04950,0.06154,1
ROUGE-S2,3631,SYSTEM13.TXT,0.04878,0.04724,0.04800,1
ROUGE-S2,3631,SYSTEM12.TXT,0.08130,0.04950,0.06154,1

ROUGE-S2,3632,SYSTEM1.TXT,0.06870,0.06923,0.06897,1
ROUGE-S2,3632,SYSTEM2.TXT,0.07634,0.07812,0.07722,1
ROUGE-S2,3632,SYSTEM12U.TXT,0.07634,0.07812,0.07722,1
ROUGE-S2,3632,SYSTEM13U.TXT,0.07634,0.07812,0.07722,1
ROUGE-S2,3632,SYSTEM13.TXT,0.06870,0.06923,0.06897,1
ROUGE-S2,3632,SYSTEM3.TXT,0.07634,0.05495,0.06390,1
ROUGE-S2,3632,SYSTEM123.TXT,0.07634,0.07812,0.07722,1
ROUGE-S2,3632,SYSTEM12.TXT,0.07634,0.07812,0.07722,1
ROUGE-S2,3632,SYSTEM23.TXT,0.07634,0.07812,0.07722,1
ROUGE-S2,3632,SYSTEM123U.TXT,0.07634,0.07812,0.07722,1
ROUGE-S2,3632,SYSTEM23U.TXT,0.07634,0.07812,0.07722,1

ROUGE-S2,3633,SYSTEM2.TXT,0.08411,0.06923,0.07595,1
ROUGE-S2,3633,SYSTEM13U.TXT,0.06542,0.05512,0.05983,1
ROUGE-S2,3633,SYSTEM23.TXT,0.09346,0.06579,0.07722,1
ROUGE-S2,3633,SYSTEM13.TXT,0.06542,0.05512,0.05983,1
ROUGE-S2,3633,SYSTEM12.TXT,0.05607,0.04054,0.04706,1
ROUGE-S2,3633,SYSTEM23U.TXT,0.05607,0.05128,0.05357,1
ROUGE-S2,3633,SYSTEM123U.TXT,0.05607,0.05128,0.05357,1
ROUGE-S2,3633,SYSTEM12U.TXT,0.05607,0.05128,0.05357,1
ROUGE-S2,3633,SYSTEM1.TXT,0.02804,0.02439,0.02609,1
ROUGE-S2,3633,SYSTEM3.TXT,0.06542,0.05512,0.05983,1
ROUGE-S2,3633,SYSTEM123.TXT,0.05607,0.05128,0.05357,1

ROUGE-S2,3634,SYSTEM2.TXT,0.06612,0.15686,0.09302,1
ROUGE-S2,3634,SYSTEM3.TXT,0.06612,0.15686,0.09302,1
ROUGE-S2,3634,SYSTEM1.TXT,0.06612,0.15686,0.09302,1
ROUGE-S2,3634,SYSTEM23U.TXT,0.06612,0.15686,0.09302,1
ROUGE-S2,3634,SYSTEM23.TXT,0.06612,0.15686,0.09302,1
ROUGE-S2,3634,SYSTEM12.TXT,0.06612,0.15686,0.09302,1
ROUGE-S2,3634,SYSTEM12U.TXT,0.06612,0.15686,0.09302,1
ROUGE-S2,3634,SYSTEM13.TXT,0.06612,0.15686,0.09302,1
ROUGE-S2,3634,SYSTEM123.TXT,0.06612,0.15686,0.09302,1
ROUGE-S2,3634,SYSTEM13U.TXT,0.06612,0.15686,0.09302,1
ROUGE-S2,3634,SYSTEM123U.TXT,0.06612,0.15686,0.09302,1

ROUGE-S2,3635,SYSTEM12U.TXT,0.00000,0.00000,0.00000,1
ROUGE-S2,3635,SYSTEM123.TXT,0.00000,0.00000,0.00000,1
ROUGE-S2,3635,SYSTEM23U.TXT,0.00000,0.00000,0.00000,1
ROUGE-S2,3635,SYSTEM2.TXT,0.00000,0.00000,0.00000,1
ROUGE-S2,3635,SYSTEM3.TXT,0.00000,0.00000,0.00000,1
ROUGE-S2,3635,SYSTEM13U.TXT,0.00000,0.00000,0.00000,1
ROUGE-S2,3635,SYSTEM12.TXT,0.00000,0.00000,0.00000,1
ROUGE-S2,3635,SYSTEM1.TXT,0.00000,0.00000,0.00000,1
ROUGE-S2,3635,SYSTEM23.TXT,0.00000,0.00000,0.00000,1
ROUGE-S2,3635,SYSTEM13.TXT,0.00000,0.00000,0.00000,1
ROUGE-S2,3635,SYSTEM123U.TXT,0.00000,0.00000,0.00000,1

ROUGE-S2,2309,SYSTEM23U.TXT,0.18182,0.11340,0.13968,1
ROUGE-S2,2309,SYSTEM12.TXT,0.10744,0.08125,0.09253,1
ROUGE-S2,2309,SYSTEM123U.TXT,0.18182,0.11340,0.13968,1
ROUGE-S2,2309,SYSTEM1.TXT,0.00826,0.00505,0.00627,1
ROUGE-S2,2309,SYSTEM2.TXT,0.10744,0.08125,0.09253,1
ROUGE-S2,2309,SYSTEM23.TXT,0.18182,0.11340,0.13968,1
ROUGE-S2,2309,SYSTEM12U.TXT,0.10744,0.08125,0.09253,1
ROUGE-S2,2309,SYSTEM123.TXT,0.18182,0.11340,0.13968,1
ROUGE-S2,2309,SYSTEM13U.TXT,0.08264,0.05435,0.06557,1
ROUGE-S2,2309,SYSTEM3.TXT,0.07438,0.03879,0.05099,1
ROUGE-S2,2309,SYSTEM13.TXT,0.00000,0.00000,0.00000,1

ROUGE-S2,3636,SYSTEM13U.TXT,0.02521,0.01261,0.01681,1
ROUGE-S2,3636,SYSTEM123.TXT,0.02521,0.01639,0.01987,1
ROUGE-S2,3636,SYSTEM3.TXT,0.02521,0.00917,0.01345,1
ROUGE-S2,3636,SYSTEM12U.TXT,0.02521,0.01639,0.01987,1
ROUGE-S2,3636,SYSTEM23.TXT,0.02521,0.01639,0.01987,1
ROUGE-S2,3636,SYSTEM1.TXT,0.02521,0.01639,0.01987,1
ROUGE-S2,3636,SYSTEM2.TXT,0.02521,0.01020,0.01453,1
ROUGE-S2,3636,SYSTEM13.TXT,0.02521,0.01639,0.01987,1
ROUGE-S2,3636,SYSTEM123U.TXT,0.02521,0.01261,0.01681,1
ROUGE-S2,3636,SYSTEM23U.TXT,0.02521,0.01261,0.01681,1
ROUGE-S2,3636,SYSTEM12.TXT,0.02521,0.01639,0.01987,1

ROUGE-S2,2308,SYSTEM13U.TXT,0.04132,0.02427,0.03058,1
ROUGE-S2,2308,SYSTEM13.TXT,0.04132,0.02427,0.03058,1
ROUGE-S2,2308,SYSTEM123U.TXT,0.34711,0.18421,0.24069,1
ROUGE-S2,2308,SYSTEM2.TXT,0.34711,0.18421,0.24069,1
ROUGE-S2,2308,SYSTEM123.TXT,0.34711,0.18421,0.24069,1
ROUGE-S2,2308,SYSTEM12.TXT,0.34711,0.18421,0.24069,1
ROUGE-S2,2308,SYSTEM23U.TXT,0.34711,0.18421,0.24069,1
ROUGE-S2,2308,SYSTEM1.TXT,0.01653,0.01460,0.01550,1
ROUGE-S2,2308,SYSTEM23.TXT,0.34711,0.18421,0.24069,1
ROUGE-S2,2308,SYSTEM3.TXT,0.04132,0.02427,0.03058,1
ROUGE-S2,2308,SYSTEM12U.TXT,0.34711,0.18421,0.24069,1

ROUGE-S2,2307,SYSTEM12U.TXT,0.08547,0.08000,0.08264,1
ROUGE-S2,2307,SYSTEM1.TXT,0.08547,0.08000,0.08264,1
ROUGE-S2,2307,SYSTEM12.TXT,0.08547,0.08000,0.08264,1
ROUGE-S2,2307,SYSTEM23U.TXT,0.08547,0.08000,0.08264,1
ROUGE-S2,2307,SYSTEM13.TXT,0.08547,0.08000,0.08264,1
ROUGE-S2,2307,SYSTEM2.TXT,0.08547,0.08000,0.08264,1
ROUGE-S2,2307,SYSTEM13U.TXT,0.08547,0.08000,0.08264,1
ROUGE-S2,2307,SYSTEM3.TXT,0.29060,0.11409,0.16386,1
ROUGE-S2,2307,SYSTEM23.TXT,0.08547,0.08000,0.08264,1
ROUGE-S2,2307,SYSTEM123U.TXT,0.08547,0.08000,0.08264,1
ROUGE-S2,2307,SYSTEM123.TXT,0.08547,0.08000,0.08264,1

ROUGE-S2,3637,SYSTEM23U.TXT,0.34783,0.11869,0.17699,1
ROUGE-S2,3637,SYSTEM13.TXT,0.34783,0.11869,0.17699,1
ROUGE-S2,3637,SYSTEM12.TXT,0.34783,0.11869,0.17699,1
ROUGE-S2,3637,SYSTEM13U.TXT,0.34783,0.11869,0.17699,1
ROUGE-S2,3637,SYSTEM2.TXT,0.34783,0.11869,0.17699,1
ROUGE-S2,3637,SYSTEM123U.TXT,0.34783,0.11869,0.17699,1
ROUGE-S2,3637,SYSTEM123.TXT,0.34783,0.11869,0.17699,1
ROUGE-S2,3637,SYSTEM23.TXT,0.34783,0.11869,0.17699,1
ROUGE-S2,3637,SYSTEM12U.TXT,0.34783,0.11869,0.17699,1
ROUGE-S2,3637,SYSTEM1.TXT,0.34783,0.11869,0.17699,1
ROUGE-S2,3637,SYSTEM3.TXT,0.34783,0.11869,0.17699,1

ROUGE-S2,3650,SYSTEM13.TXT,0.28571,0.28333,0.28452,1
ROUGE-S2,3650,SYSTEM12.TXT,0.42017,0.33113,0.37037,1
ROUGE-S2,3650,SYSTEM23U.TXT,0.63025,0.49669,0.55556,1
ROUGE-S2,3650,SYSTEM13U.TXT,0.28571,0.28333,0.28452,1
ROUGE-S2,3650,SYSTEM2.TXT,0.41176,0.32886,0.36567,1
ROUGE-S2,3650,SYSTEM123U.TXT,0.63025,0.49669,0.55556,1
ROUGE-S2,3650,SYSTEM123.TXT,0.63025,0.49669,0.55556,1
ROUGE-S2,3650,SYSTEM23.TXT,0.63025,0.49669,0.55556,1
ROUGE-S2,3650,SYSTEM12U.TXT,0.42017,0.33113,0.37037,1
ROUGE-S2,3650,SYSTEM3.TXT,0.31933,0.15833,0.21170,1
ROUGE-S2,3650,SYSTEM1.TXT,0.05882,0.05303,0.05578,1

ROUGE-S2,3651,SYSTEM123.TXT,0.07826,0.07438,0.07627,1
ROUGE-S2,3651,SYSTEM12U.TXT,0.07826,0.05172,0.06228,1
ROUGE-S2,3651,SYSTEM23.TXT,0.07826,0.07438,0.07627,1
